Date,Power_kWh,Power-1,temp_C,solarRad_W/m2,HDH
2019-01-06 23:00:00,55.042,55.925,10.105,1.401,7.895
2019-01-07 00:00:00,48.703,55.042,9.751666666666669,2.432916666666667,8.248333333333331
2019-01-07 01:00:00,48.164,48.703,10.075833333333334,1.3804166666666664,7.924166666666666
2019-01-07 02:00:00,46.537,48.164,9.1775,1.5051666666666668,8.8225
2019-01-07 03:00:00,46.265,46.537,7.7475,1.7915,10.252500000000001
2019-01-07 04:00:00,44.571,46.265,7.864999999999999,1.3573333333333333,10.135000000000002
2019-01-07 05:00:00,56.412,44.571,8.191666666666666,1.1011666666666666,9.808333333333334
2019-01-07 06:00:00,55.745,56.412,6.998,1.5236666666666665,11.001999999999999
2019-01-07 07:00:00,87.792,55.745,7.15575,2.58975,10.844249999999999
2019-01-07 08:00:00,148.87,87.792,7.5,71.9675,10.5
2019-01-07 09:00:00,180.257,148.87,8.189166666666667,227.0583333333333,9.810833333333333
2019-01-07 10:00:00,213.972,180.257,10.104166666666666,366.275,7.895833333333334
2019-01-07 11:00:00,269.983,213.972,11.320833333333333,462.8416666666666,6.679166666666667
2019-01-07 12:00:00,262.858,269.983,12.368333333333334,505.0416666666667,5.631666666666666
2019-01-07 13:00:00,260.367,262.858,13.253333333333332,486.51666666666665,4.746666666666668
2019-01-07 14:00:00,271.302,260.367,13.871666666666668,413.375,4.128333333333332
2019-01-07 15:00:00,269.848,271.302,14.714166666666666,290.8,3.2858333333333345
2019-01-07 16:00:00,262.532,269.848,14.639166666666668,135.9425,3.360833333333332
2019-01-07 17:00:00,260.315,262.532,14.320833333333333,12.228666666666667,3.679166666666667
2019-01-07 18:00:00,249.812,260.315,14.526666666666666,1.246,3.4733333333333345
2019-01-07 19:00:00,238.115,249.812,14.428333333333333,0.8215,3.571666666666667
2019-01-07 20:00:00,173.049,238.115,14.175833333333337,1.25525,3.824166666666663
2019-01-07 21:00:00,86.325,173.049,13.14,1.3224166666666666,4.859999999999999
2019-01-07 22:00:00,58.923,86.325,11.824166666666663,0.9163333333333332,6.175833333333337
2019-01-07 23:00:00,50.008,58.923,10.5575,1.4401666666666666,7.442500000000001
2019-01-08 00:00:00,42.622,50.008,11.485833333333332,1.5415833333333333,6.514166666666668
2019-01-08 01:00:00,41.863,42.622,10.685,1.17,7.3149999999999995
2019-01-08 02:00:00,40.704,41.863,10.015833333333331,0.9461666666666666,7.984166666666669
2019-01-08 03:00:00,38.776,40.704,9.511666666666668,1.0018333333333334,8.488333333333332
2019-01-08 04:00:00,39.189,38.776,8.655833333333334,1.5374166666666669,9.344166666666666
2019-01-08 05:00:00,39.778,39.189,9.355,1.2581666666666669,8.645
2019-01-08 06:00:00,41.784,39.778,8.68,1.0295,9.32
2019-01-08 07:00:00,66.585,41.784,6.865583333333333,2.4978333333333333,11.134416666666667
2019-01-08 08:00:00,209.168,66.585,7.0545,71.8525,10.9455
2019-01-08 09:00:00,205.555,209.168,7.803333333333334,224.8083333333333,10.196666666666665
2019-01-08 10:00:00,204.567,205.555,8.531666666666666,362.35,9.468333333333334
2019-01-08 11:00:00,235.02,204.567,9.545833333333333,457.8,8.454166666666667
